# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.519996398705975707e+03 5.801017977767969699e-05 -5.093832596170529787e-04 -2.256865399196866307e-04
-1.518996368186534710e+03 -2.596870158672804534e-04 -8.196057692308327284e-04 -5.396463925490565909e-04
-1.517996337667093940e+03 -5.762207341269651737e-04 -5.048412858486208288e-04 -5.405310099877930555e-04
-1.516996307147653170e+03 -2.561868880671585376e-04 2.712471022670284097e-04 7.530107099934936054e-06
-1.515996276628212172e+03 2.191808845479477721e-04 4.257692307691367598e-04 3.224750576585422388e-04
-1.514996246108771174e+03 6.957218301927679946e-04 2.665911040523468670e-04 4.811564671225574308e-04
-1.513996215589330404e+03 8.521707559083831641e-04 -6.662903994495789290e-04 9.294017822940211756e-05
-1.512996185069889634e+03 5.332616046541671651e-04 -1.286621394230742831e-03 -3.766798947882878329e-04
-1.511996154550448637e+03 -2.597548853813748306e-04 -8.148167424956956773e-04 -5.372858139385352540e-04
-1.510996124031007639e+03 -2.585332341270263324e-04 2.713041144901352439e-04 6.385440181554455754e-06
-1.509996093511566869e+03 -4.173769841269957259e-04 1.107766984948929320e-04 -1.533001428160513969e-04
-1.508996062992126099e+03 -5.774714723159048938e-04 -6.639338942307546716e-04 -6.207026832733297285e-04
-1.507996032472685101e+03 -5.762207341269651737e-04 -3.501196145658110829e-04 -4.631701743463881283e-04
-1.506996001953244104e+03 -7.363346136056986421e-04 2.725868895084826134e-04 -2.318738620486080143e-04
-1.505995971433803334e+03 -1.052751984126983672e-03 7.346044429557126122e-04 -1.590737705856355298e-04
-1.504995940914362563e+03 -1.054041504895426602e-03 1.144254807692034767e-04 -4.698080120631115760e-04
-1.503995910394921566e+03 -8.900105848868909795e-04 1.144254807692034767e-04 -3.877925520588437649e-04
-1.502995879875480568e+03 -4.213037203017961697e-04 -4.381194426745958434e-05 -2.325578322846278702e-04
-1.501995849356039798e+03 -1.207639911017630409e-03 -6.652261712862393055e-04 -9.364330411519349116e-04
-1.500995818836599028e+03 -2.572049307790803016e-04 -3.447794696750863396e-04 -3.009922002270833206e-04
-1.499995788317158031e+03 -9.835148513419806661e-05 1.047145449639410534e-03 4.743969822526062133e-04
-1.498995757797717033e+03 5.915426587302274517e-05 7.344714144352241982e-04 3.968128401541234852e-04
-1.497995727278276263e+03 2.220701867209307024e-04 1.130951955650289745e-04 1.675826911429798385e-04
-1.496995696758835493e+03 1.171060515872912123e-03 -1.995978437133610374e-04 4.857313360797755426e-04
-1.495995666239394495e+03 1.009463202728223905e-03 -9.739283549522818580e-04 1.776742388797102360e-05
-1.494995635719953498e+03 5.356855158730412705e-04 -6.639338942307546716e-04 -6.412418917885670056e-05
-1.493995605200512728e+03 5.342893430109286546e-04 -3.498535575249761770e-04 9.221789274297623878e-05
-1.492995574681071957e+03 -2.627508396477737981e-04 -3.986859884076408448e-05 -1.513097192442689311e-04
-1.491995544161630960e+03 -7.350644841269346214e-04 2.700973557691701047e-04 -2.324835641788822584e-04
-1.490995513642189962e+03 -7.350644841269346214e-04 5.828379052336378355e-04 -7.611328944664839296e-05
-1.489995483122749192e+03 -7.336295286853189044e-04 5.786285027661054172e-04 -7.750051295960674359e-05
-1.488995452603308422e+03 -4.159323330405403918e-04 1.158412843078966334e-04 -1.500455243663218656e-04
-1.487995422083867425e+03 -4.202856775897302610e-04 2.658214390414663920e-04 -7.723211927413193450e-05
-1.486995391564426427e+03 -5.732926493744067717e-04 -3.497205290044879257e-04 -4.615065891894473216e-04
-1.485995361044985657e+03 2.179980158729921658e-04 1.158697904194500505e-04 1.669339031462211082e-04
-1.484995330525544887e+03 5.767083220706424216e-05 4.243154190817528945e-04 2.409931256444085615e-04
-1.483995300006103889e+03 -5.792069927487064531e-04 -4.270970795535849454e-05 -3.109583503520325009e-04
-1.482995269486662892e+03 -8.924054091711763025e-04 -1.939726377071365466e-04 -5.431890234391564517e-04
-1.481995238967222122e+03 -2.524831517244271995e-04 5.829234235681565171e-04 1.652201359218646588e-04
-1.480995208447781351e+03 5.311188671366552519e-04 5.784574660970679457e-04 5.547881666168616530e-04
-1.479995177928340354e+03 -2.570013222366528084e-04 -4.274771610404918957e-05 -1.498745191703510058e-04
-1.478995147408899356e+03 -9.968948412705689818e-05 1.189579525006733253e-04 9.634234186808213576e-06
-1.477995116889458586e+03 2.195493190531183246e-04 5.799207798215891838e-04 3.997350494373537542e-04
-1.476995086370017816e+03 3.768417658730718227e-04 4.272990587539031264e-04 4.020704123134874746e-04
