# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-2.322495879875480568e+03 -4.406715263080149825e+00 8.098125771699171693e+00 3.257129849432953250e+00 4.546879268583329803e-01
-2.321495849356039798e+03 -4.617082072046784225e-01 7.318958303714230063e+00 3.400465608406573192e+00 -9.345641689914137018e-01
-2.320495818836599028e+03 3.341023827393353240e+00 5.545733834592491363e+00 3.481660522422579618e+00 -2.883277673161186438e+00
-2.319495788317158258e+03 6.577993294355206189e+00 2.746358408679444363e+00 3.353134424777999723e+00 -4.880825243176220241e+00
-2.318495757797717033e+03 8.824389149718607328e+00 -7.983950867401412577e-01 2.758779958266063925e+00 -6.323379157042067433e+00
-2.317495727278276263e+03 9.693724827502327557e+00 -4.581036798238018903e+00 1.492811930687144129e+00 -6.688895939593531459e+00
-2.316495696758835493e+03 8.949378667787653896e+00 -8.028299278270548456e+00 -4.140764322134062869e-01 -5.698250568186810305e+00
-2.315495666239394268e+03 6.646719919182483061e+00 -1.064836865332265781e+01 -2.597232727980322675e+00 -3.410004479905171859e+00
-2.314495635719953498e+03 3.213818015324945154e+00 -1.210678488834936140e+01 -4.443757819262804887e+00 -2.212009017413688605e-01
-2.313495605200512728e+03 -6.062671882780560351e-01 -1.223914576130616361e+01 -5.348684760215170364e+00 3.230156645432057605e+00
-2.312495574681071957e+03 -3.951591456269099911e+00 -1.104842182060497535e+01 -5.004029388443262505e+00 6.242345989673947493e+00
-2.311495544161631187e+03 -6.092608733425949552e+00 -8.713668572103568266e+00 -3.550180321932900895e+00 8.252718449740299889e+00
-2.310495513642189962e+03 -6.626159337927176374e+00 -5.590864346758236181e+00 -1.507448500470941477e+00 8.982963821481266820e+00
-2.309495483122749192e+03 -5.541405502755043067e+00 -2.173834625822131272e+00 4.579708621612417208e-01 8.461061068916272632e+00
-2.308495452603308422e+03 -3.162846524825579486e+00 9.896244515774147432e-01 1.792964998087678730e+00 6.922574684357742036e+00
-2.307495422083867197e+03 -2.715871740523567029e-02 3.401617458939441008e+00 2.216808433987365490e+00 4.668136409452019464e+00
-2.306495391564426427e+03 3.251809478753118210e+00 4.707341323187202775e+00 1.746829262366815350e+00 1.976072234320797705e+00
-2.305495361044985657e+03 6.109157768841458669e+00 4.762515211373858470e+00 6.361613383948891975e-01 -8.841185745004298546e-01
-2.304495330525544887e+03 8.144315899497280853e+00 3.676612324977989843e+00 -7.168769885468025960e-01 -3.584726815069214645e+00
-2.303495300006104117e+03 9.211373723666513413e+00 1.828559306273228602e+00 -1.858398555682445830e+00 -5.720943922928073633e+00
-2.302495269486662892e+03 9.450712870485906691e+00 -1.727630421370417724e-01 -2.367276666314538147e+00 -6.901354850961020304e+00
-2.301495238967222122e+03 9.230946373051898135e+00 -1.618810178416961953e+00 -1.951106750105350729e+00 -6.905335845973930020e+00
-2.300495208447781351e+03 9.001084494818373472e+00 -1.917356676079036149e+00 -5.439779075327361157e-01 -5.797794584412319097e+00
-2.299495177928340127e+03 9.099917068060756620e+00 -8.177608332258872181e-01 1.629665527729806218e+00 -3.923062168817905260e+00
-2.298495147408899356e+03 9.606974681147002926e+00 1.469790786660933213e+00 4.072349865317617557e+00 -1.789137531589524155e+00
-2.297495116889458586e+03 1.031506521952037581e+01 4.335905191504569878e+00 6.129320680096630447e+00 8.344570134182739685e-02
-2.296495086370017816e+03 1.084853448573341872e+01 6.992781054465702084e+00 7.171557105451732639e+00 1.276488580026942987e+00
-2.295495055850577046e+03 1.087440797902866585e+01 8.754844986674497065e+00 6.786034860493061593e+00 1.528824163218600818e+00
-2.294495025331135821e+03 1.030315353387043587e+01 9.268440104636830768e+00 4.912984792846165405e+00 7.536469597058392811e-01
-2.293494994811695051e+03 9.379181733618647598e+00 8.614045511193097582e+00 1.885744878429551630e+00 -9.514915950421802826e-01
-2.292494964292254281e+03 8.610115490671061522e+00 7.248517202029177042e+00 -1.647624489924052860e+00 -3.305028443065207711e+00
-2.291494933772813056e+03 8.551458908099320411e+00 5.806230929903443361e+00 -4.907684500197744271e+00 -5.884759122064270542e+00
-2.290494903253372286e+03 9.527096140012909942e+00 4.836894751592615727e+00 -7.216856143199417595e+00 -8.229544460427273833e+00
-2.289494872733931516e+03 1.140731468426764650e+01 4.593751309069244115e+00 -8.202013646500075694e+00 -9.960918189468356942e+00
-2.288494842214490745e+03 1.356267618016723375e+01 4.967039362738435493e+00 -7.896784444587831686e+00 -1.085507309807531762e+01
-2.287494811695049975e+03 1.505236182725644234e+01 5.587322844009813494e+00 -6.708338688501175540e+00 -1.082811596590858727e+01
-2.286494781175608750e+03 1.500267940154918378e+01 6.038578002686596946e+00 -5.253603188091133802e+00 -9.866213292508316357e+00
-2.285494750656167980e+03 1.302269410235043345e+01 6.066908926862620177e+00 -4.119625545685030588e+00 -7.971735739014386368e+00
-2.284494720136727210e+03 9.448207189575519749e+00 5.675286203098370841e+00 -3.649700353538672282e+00 -5.175686717138644255e+00
-2.283494689617285985e+03 5.259346898820459693e+00 5.057501878616872837e+00 -3.851796707923019092e+00 -1.612858655854546130e+00
-2.282494659097845215e+03 1.679663211812212342e+00 4.419463752119803246e+00 -4.451184750543438540e+00 2.388840343087257345e+00
-2.281494628578404445e+03 -3.541691512073346093e-01 3.813914805191819024e+00 -5.028998016145298955e+00 6.271717444462623803e+00
-2.280494598058963675e+03 -5.865209940953934886e-01 3.114769550074791837e+00 -5.174722167236184056e+00 9.319252483870716475e+00
-2.279494567539522905e+03 4.839322331514778197e-01 2.153766829208170197e+00 -4.617169932019182355e+00 1.084345753515573563e+01
-2.278494537020081680e+03 1.862962945311833485e+00 9.042380285810724949e-01 -3.318671718807133963e+00 1.042815131307131260e+01
-2.277494506500640910e+03 2.511198472263965975e+00 -4.435933792083296412e-01 -1.509408319439980994e+00 8.116145888024869137e+00
-2.276494475981200139e+03 1.782501530118966837e+00 -1.567087841793204817e+00 3.578426226483691353e-01 4.437844048029877086e+00
-2.275494445461758914e+03 -3.312918370685029035e-01 -2.171637445477148098e+00 1.731335574699701230e+00 2.528355661024579426e-01
-2.274494414942318144e+03 -3.242591225319803705e+00 -2.113001672037138512e+00 2.142453782835998410e+00 -3.528378722750245444e+00
-2.273494384422877374e+03 -6.057923014618915580e+00 -1.433482664658460415e+00 1.400664233286427196e+00 -6.215274317530558257e+00
-2.272494353903436604e+03 -7.958354549409007106e+00 -3.271975182471993371e-01 -2.782547367244607162e-01 -7.482513587725501125e+00
-2.271494323383995834e+03 -8.487603167029593720e+00 9.296046836747554609e-01 -2.288290808776664242e+00 -7.344040759298069432e+00
-2.270494292864554609e+03 -7.647131903127896813e+00 2.049747075551376252e+00 -3.814524868058418949e+00 -6.006175414086038167e+00
-2.269494262345113839e+03 -5.816016762830303222e+00 2.793294745445322746e+00 -4.131138093408801559e+00 -3.710891519902293378e+00
-2.268494231825673069e+03 -3.580035600038086407e+00 3.021323742728565964e+00 -2.914308379462752896e+00 -6.694063323805017340e-01
-2.267494201306231844e+03 -1.547814335491517035e+00 2.748664126490471649e+00 -4.353810248159328822e-01 2.887514003663212758e+00
-2.266494170786791074e+03 -1.979726847350489205e-01 2.169286296498073252e+00 2.477783512046431991e+00 6.602803215218550292e+00
-2.265494140267350303e+03 2.188082597532571005e-01 1.617136497034986409e+00 4.722593397522468095e+00 9.934919215603283504e+00
-2.264494109747909533e+03 -2.899942025589417050e-01 1.451700771670973333e+00 5.334739878403278013e+00 1.222781749207771718e+01
-2.263494079228468763e+03 -1.491543779468922803e+00 1.905685872801404113e+00 3.852448190303342290e+00 1.290575890690242389e+01
-2.262494048709027538e+03 -3.001650690126228760e+00 2.971992058260501945e+00 4.738927175716475815e-01 1.170220049104688087e+01
-2.261494018189586768e+03 -4.373217643763789297e+00 4.396655540685682872e+00 -4.043221687117850571e+00 8.802527171698232067e+00
-2.260493987670145998e+03 -5.182181284154895984e+00 5.778042673687891373e+00 -8.660999058961746044e+00 4.827470272743035196e+00
-2.259493957150704773e+03 -5.111361695161927621e+00 6.714571891924354219e+00 -1.238220416216705999e+01 6.660911518563611411e-01
-2.258493926631264003e+03 -4.035065448633869067e+00 6.941433211048268603e+00 -1.450612382155256519e+01 -2.772213589596050021e+00
-2.257493896111823233e+03 -2.081062683948104119e+00 6.419073231116274592e+00 -1.476998832791712069e+01 -4.801120505231684099e+00
-2.256493865592382463e+03 3.772793042393004503e-01 5.348579811217059721e+00 -1.337056697926552395e+01 -5.126767364212011735e+00
-2.255493835072941692e+03 2.823857161816075489e+00 4.106150697408314620e+00 -1.088860824628302204e+01 -3.900746997534118243e+00
-2.254493804553500468e+03 4.764430108822285348e+00 3.116643187631407574e+00 -8.140834069086924529e+00 -1.642477139290036137e+00
-2.253493774034059697e+03 5.878476555148796301e+00 2.706852565499549002e+00 -5.974166706680428263e+00 9.500116989063664974e-01
-2.252493743514618927e+03 6.093743689728675861e+00 2.989646026615713659e+00 -5.031620712738196666e+00 3.240068536812749755e+00
-2.251493712995177702e+03 5.566304177653138119e+00 3.829073813601942433e+00 -5.550502482257571479e+00 4.847833008107934383e+00
-2.250493682475736932e+03 4.592200344589063121e+00 4.906895944335333049e+00 -7.263361248215119303e+00 5.711957139774178849e+00
-2.249493651956296162e+03 3.487759430987836584e+00 5.857943543954849730e+00 -9.455750398728069328e+00 5.994602080005669187e+00
-2.248493621436855392e+03 2.470231383734250663e+00 6.405219845879408958e+00 -1.119671977709129429e+01 5.900705553642323409e+00
-2.247493590917414622e+03 1.578426392847375181e+00 6.432474791441764594e+00 -1.168773216789496949e+01 5.534302779209221868e+00
-2.246493560397973397e+03 6.802814480574264078e-01 5.970540716209643328e+00 -1.059698400112849370e+01 4.879523980121911464e+00
-2.245493529878532627e+03 -4.188725356977253678e-01 5.117648839014641737e+00 -8.221228324004018262e+00 3.898297301529525694e+00
-2.244493499359091857e+03 -1.818569890560899793e+00 3.945974262527113918e+00 -5.380560762702122801e+00 2.654462457158879296e+00
-2.243493468839650632e+03 -3.407599156977457966e+00 2.456171181055562869e+00 -3.076228418584094015e+00 1.362438473551837559e+00
-2.242493438320209862e+03 -4.863335659618986284e+00 6.158729884848993530e-01 -2.060129825468520970e+00 3.195891463850107361e-01
-2.241493407800769091e+03 -5.776102692241537717e+00 -1.540640865968208706e+00 -2.510310107654679879e+00 -2.313973465806110075e-01
-2.240493377281328321e+03 -5.840497235544541255e+00 -3.825045183124997195e+00 -3.957238634913425646e+00 -2.123212219239431486e-01
-2.239493346761887551e+03 -5.018260198266465189e+00 -5.888575549624160743e+00 -5.492714707752957892e+00 2.825076643068032967e-01
-2.238493316242446326e+03 -3.587891506182439016e+00 -7.312516107045267333e+00 -6.167621279186736416e+00 1.071396716986129150e+00
