# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-8.934522675944576804e+02 7.355490079338174780e+00 -1.590319603923257663e+00 2.195903299024871469e+00 -1.030904153360772035e+01
-8.924522370750169102e+02 6.317904299679597990e+00 -1.067437489943269924e+01 4.407324902213177076e+00 -3.527094345590576552e+00
-8.914522065555759127e+02 -1.751072573260211929e+00 -4.930507429087913063e-01 -3.349849707138750077e+00 4.360287316849509320e-01
-8.904521760361349152e+02 2.802606651202334653e+00 -8.813257538822789172e+00 9.063562778363117189e+00 2.207773152346854229e+00
-8.894521455166941450e+02 5.913087372524441880e-03 4.766708103913094519e+00 -1.078081191262622163e+01 -8.327346268316418332e+00
-8.884521149972533749e+02 -3.923994448258235845e+00 -4.938930680316617750e-01 1.308804557187611906e+00 -1.754815018316169928e+00
-8.874520844778123774e+02 -6.305149695886520078e+00 -6.953263278388090107e+00 9.731338758039161263e+00 -6.136502518315298360e+00
-8.864520539583713798e+02 -7.644740182213499935e+00 -1.912228188660677786e+00 4.850518921925369931e+00 -5.926417947036585865e+00
-8.854520234389306097e+02 2.133506636708900339e-01 4.325891289230282766e+00 -1.018603678479804486e+00 -4.155877066245018625e+00
-8.844519929194898396e+02 2.803402447529857788e+00 -5.094953668195238095e+00 7.625811813186662569e+00 -1.334110969150526405e+00
-8.834519624000488420e+02 4.976456955252882786e+00 -9.253232028385998120e+00 6.954624461969063809e+00 2.416386730447160236e+00
-8.824519318806078445e+02 8.904640265507499208e+00 -8.811011338493178968e+00 -6.570184444368022625e+00 8.572676874630977828e-01
-8.814519013611670744e+02 6.940614926741146995e+00 -4.958584933208025625e-01 4.088503803356701383e+00 8.988650527144967484e+00
-8.804518708417263042e+02 2.176447573386003587e+00 -1.155320077838717374e+01 1.694056181318481080e+01 5.028603162877561594e+00
-8.794518403222853067e+02 -1.541778138861988001e+00 -4.210231513371537559e+00 1.183459145519288569e+01 7.008559981685199780e+00
-8.784518098028443092e+02 7.778323195219497777e+00 -2.750289234167977992e-01 1.040337895214042518e+01 7.008559981685199780e+00
-8.774517792834035390e+02 1.955902677705922343e+01 -4.875106810938913071e+00 2.016757715301990928e+01 7.008559981685199780e+00
-8.764517487639627689e+02 6.521230261616580925e+00 -1.243562428040745349e+00 2.280300381099064211e+01 4.394872556076392378e+00
-8.754517182445217713e+02 2.804596142023119132e+00 8.036052683662999740e+00 2.106817924054928426e+01 3.261539175057128759e+00
-8.744516877250807738e+02 9.533451997751090090e+00 -1.088650044305337516e+01 3.797735299916761420e+01 1.117855819057719557e+01
-8.734516572056400037e+02 1.366947078246534097e+01 8.701770306350709916e+00 -5.631855773996091719e-01 4.605893213921704366e+00
-8.724516266861992335e+02 1.500163383639584325e+01 -9.030717808237740840e+00 2.535414116373474513e+01 2.414915737268755080e+00
-8.714515961667582360e+02 4.767693051740035770e+00 9.814481794627976541e+00 -4.243060489656832246e+00 2.838962952753400604e+00
-8.704515656473172385e+02 4.767693051740035770e+00 5.955369240837652178e+00 8.076965699838325463e+00 2.626872481682958504e+00
-8.694515351278764683e+02 -2.100129830969221789e-01 6.154491197534104341e-01 -1.166003357264231211e+00 2.626872481682958504e+00
-8.684515046084356982e+02 -7.426824620926232079e+00 1.077725941091004458e+01 -2.640105578966437250e+01 2.839364132707973720e+00
-8.674514740889947007e+02 1.149734470379552675e+01 -9.030015870634212405e+00 -5.894306457277024514e+00 9.412029109364462798e+00
-8.664514435695537031e+02 8.480480822407100661e+00 5.216650107439469330e+00 -3.868720255978486816e-02 1.379385033601641375e+01
-8.654514130501129330e+02 6.330005942361934812e-01 1.626992115440653919e+01 -1.310608804108074921e+01 1.577193498168345620e+01
-8.644513825306721628e+02 7.363182777179459571e+00 1.834639297160850901e+01 -3.303594695503286882e-01 1.315503811641469767e+01
-8.634513520112311653e+02 1.345938055173830605e+01 1.604642422161060011e+01 1.858953353310922196e+01 4.178235378818424550e+00
