# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.548997283769761452e+03 -1.420379229304183540e-02 -1.455532495910229164e-03 -7.829662394476032822e-03
-1.547997253250320455e+03 -1.531659054237037056e-02 -6.797101648351615072e-04 -7.998150353602765869e-03
-1.546997222730879457e+03 -1.578962166457019423e-02 -9.936479709834571128e-04 -8.391634817776825669e-03
-1.545997192211438687e+03 -1.515334496959679436e-02 -1.769413289835166129e-03 -8.461379129715980787e-03
-1.544997161691997917e+03 -1.499628521825397028e-02 -1.770296979292189420e-03 -8.383291098773079306e-03
-1.543997131172556919e+03 -1.499810799949061885e-02 -1.925978356329366686e-03 -8.462043177909992983e-03
-1.542997100653115922e+03 -1.531120945946431479e-02 -2.235526221303634105e-03 -8.773367840383974881e-03
-1.541997070133675152e+03 -1.451882318634587984e-02 -1.924172969266558109e-03 -8.221498077806218760e-03
-1.540997039614234382e+03 -1.468235962846569341e-02 -1.769413289835165696e-03 -8.225886459150429444e-03
-1.539997009094793384e+03 -1.563166021825395866e-02 -1.298672866263458599e-03 -8.465166542258708085e-03
-1.538996978575352387e+03 -1.563070034941121608e-02 -5.249789915153223749e-04 -8.077839670463269825e-03
-1.537996948055911616e+03 -1.531397271825401737e-02 -5.240382898351920874e-04 -7.919005504044604460e-03
-1.536996917536470846e+03 -1.515512896825404847e-02 -8.363417455895349843e-04 -7.995735356921791076e-03
-1.535996887017029849e+03 -1.515512896825404847e-02 -8.344128320435172889e-04 -7.994770900148783638e-03
-1.534996856497588851e+03 -1.499628521825396681e-02 -9.939900443216732190e-04 -7.995137631287820013e-03
-1.533996825978148081e+03 -1.499729356532104874e-02 -1.769413289835165696e-03 -8.383353427578107975e-03
-1.532996795458707311e+03 -1.547179842554206181e-02 -1.769413289835165696e-03 -8.620605857688614510e-03
-1.531996764939266313e+03 -1.515512896825404500e-02 -1.613741414835196493e-03 -8.384435191544621288e-03
-1.530996734419825316e+03 -1.483432916624876155e-02 -1.458069539835227290e-03 -8.146199353041994745e-03
-1.529996703900384546e+03 -1.420311359790059173e-02 -1.615793854864494214e-03 -7.909453726382542973e-03
-1.528996673380943776e+03 -1.436091021825397843e-02 -2.392100789835152445e-03 -8.376505504044565870e-03
-1.527996642861502778e+03 -1.451975396825394733e-02 -2.236428914835073088e-03 -8.378091441544509993e-03
-1.526996612342061781e+03 -1.452083018483519596e-02 -2.235374188708870620e-03 -8.378102186772033722e-03
-1.525996581822621010e+03 -1.499954295493222643e-02 -1.768349061671826289e-03 -8.383946008302025493e-03
-1.524996551303180240e+03 -1.578940836038299211e-02 -1.614815145035673706e-03 -8.702111752709332584e-03
-1.523996520783739243e+03 -1.531176211122233302e-02 -1.768330057597481070e-03 -8.540046084409906937e-03
-1.522996490264298245e+03 -1.467859771825391277e-02 -1.455884071285440829e-03 -8.067240894769676582e-03
-1.521996459744857475e+03 -1.515850305267070486e-02 -1.303499901147179077e-03 -8.231001476908941100e-03
-1.520996429225416705e+03 -1.594934771825388606e-02 -1.302397664835258520e-03 -8.625872691544573048e-03
-1.519996398705975707e+03 -1.562822795996792261e-02 -1.302397664835258520e-03 -8.465312812401591322e-03
-1.518996368186534710e+03 -1.499743899999421773e-02 -9.865309451408735535e-04 -7.991984972567546183e-03
-1.517996337667093940e+03 -1.515280201348385460e-02 -5.816290929578593437e-05 -7.605482461389820661e-03
-1.516996307147653170e+03 -1.451975396825394560e-02 -3.683664148352233723e-04 -7.444060191544584620e-03
-1.515996276628212172e+03 -1.483980720560368685e-02 -3.695256633702896859e-04 -7.604666434486988431e-03
-1.514996246108771174e+03 -1.531635784689352499e-02 -8.353820398351304933e-04 -8.075869943364327036e-03
-1.513996215589330404e+03 -1.562925569832475728e-02 -5.240382898351924126e-04 -8.076646994079974412e-03
-1.512996185069889634e+03 -1.515512896825404500e-02 -8.353820398351304933e-04 -7.995255504044587042e-03
-1.511996154550448637e+03 -1.515635061950839323e-02 -5.228410331514354989e-04 -7.839595826329913766e-03
-1.510996124031007639e+03 -1.547281646825398455e-02 -6.833304409980575211e-04 -8.078073454626020708e-03
-1.509996093511566869e+03 -1.515140584062163454e-02 -1.301181404077155412e-03 -8.226293622349395082e-03
-1.508996062992126099e+03 -1.435965948006504185e-02 -9.898281520398593235e-04 -7.674743816052450804e-03
